address,ens_name,op_token,op_tokens_voting,total_votes,op_voting_nft,total_proposal_interaction
0x082bd6e69c96a7fb,example.ens,4.01,193,75,96FYMT,7
0xfbf21b8f830f1b39,test.ens,1.82,148,77,OM9B59,32
0x6209a1e354c36ae5,test.ens,3.55,77,44,8584BS,15
0x1c42a146ea80ae34,test.ens,1.07,107,56,BMHQ6K,6
0x6bc3bbb73226b4ac,example.ens,3.71,175,53,8UN47L,19
0xe0b34ff9198eab27,example.ens,3.4,107,27,DS4MTL,43
0x8a553b751eeff278,example.ens,1.58,182,33,JSAP6Y,26
0xd698d032eae3500b,example.ens,1.45,186,22,4RRYH5,32
0xded8b831463eaf6d,test.ens,3.14,121,71,DCTAMR,16
0xa300c54c71a7beb3,example.ens,0.43,81,87,C7RTF3,6
0x4dc7f66f3c490a9f,example.ens,4.89,162,24,ITF0D4,42
0xd8b23ce8208560b9,test.ens,3.55,93,27,LCSRK7,10
0x9490bf280f08bfbb,test.ens,2.99,133,42,QHQ2F2,43
0x1340cb5409194bbd,example.ens,1.12,159,87,KMG1QY,8
0x38aefaea5bb432cd,test.ens,1.24,117,73,RZQSAB,26
0xf86a16c2e905b384,example.ens,3.1,192,23,3MMF3C,17
0xe2cb9eb8a16594ee,test.ens,1.55,51,47,BAX5NI,14
0x106ad51f3583d8a7,test.ens,3.04,85,52,D6CZ9S,41
0x2c6bb25dfa43ed5a,example.ens,1.99,102,46,WGBCIS,6
0xa4e72252d8c95046,test.ens,4.54,157,54,WU2NPS,6
0xf4cacccfff76d79d,example.ens,2.4,126,65,L1071P,46
0x83b305394c620720,test.ens,3.45,118,53,Z0WU6K,41
0x68ebedb06a3da943,example.ens,4.79,191,82,4CD0QP,47
0xb88ec5879609f390,example.ens,3.06,124,56,85VUK3,26
0x65d7c284d702dd44,test.ens,2.44,193,77,7ORH27,40
0xe6a60ec63c29e512,test.ens,1.01,120,95,NF7IHY,46
0x8d05aae41a4c2dfb,example.ens,3.88,68,82,3PR1FM,23
0xae9123f2b1c5147d,test.ens,3.64,50,51,ECWMHN,39
0xf009c3d20e599145,test.ens,1.98,114,41,YBPA93,31
0xf3abdf6575be97e9,test.ens,3.5,69,24,3395W8,39
