address,ens_name,op_token,op_tokens_voting,total_votes,op_voting_nft,total_proposal_interaction
0x9Db6c3E513DD1d63,mbbhdgdsuf.ens,4.89,179,37,Z55JYO,25
0xb91d48A14BAb71CF,oghexxwsou.ens,3.6,195,70,3EVRM5,22
0xFCdeebffa5b76d28,tmmcvqjain.ens,1.83,135,37,ACBCB4,38
0x79e7Ec0FdEfA42cd,jotozytpax.ens,0.14,72,55,ICT45D,10
0x4bdcBB2E43A94cEa,yikbzxwffc.ens,3.17,150,20,30F0G9,29
0x39F86A203e503fda,qbsyxwjehn.ens,0.21,188,95,ES9CA0,17
0x1f6fead04B373D48,blpfatotay.ens,4.57,136,56,CJK3L9,5
0xDc5601ACa1E1bFdC,gkbmwaaxyb.ens,2.38,74,62,1O5BOS,29
0xBA9BC6e2Fd5AAb90,haosvdekbf.ens,2.04,139,43,VSATHB,20
0x0960BB2eCD0EEEf9,jvldfubbmb.ens,3.8,86,58,KEBVZT,12
0xfde35De8e3CF6d6a,ubwwgmwrds.ens,2.58,56,43,1VW8OF,12
0x6eeD2DebcD9EcB4e,dzcwsnbezu.ens,2.45,120,79,HH62SJ,13
0xF52Ff8fbD686f01E,sziyzxqzam.ens,2.52,89,43,LU8ASS,48
0xc76eaE61Aff1503b,xdnlikzzyi.ens,1.03,96,33,8R36MV,36
0x2BDca71E1Ce7c8F1,sqrysrlbzb.ens,2.84,172,24,XI80FR,24
0x2bC92D6dc0aB8853,jxerohrnns.ens,4.72,181,40,4V1OBM,43
0x2C68ed7BeaA3eB5a,nyucwrplka.ens,4.89,135,98,C0M4I9,14
0xC1FB89FACA91f52e,ddnfhkqdwt.ens,2.15,72,87,I14R69,17
0xdc92aDE5EfD32e55,guaaqafsev.ens,2.14,95,34,D6DV6E,27
0xeBBF7Aa083C13c7b,tzsensjsbf.ens,3.36,152,99,UC5NZX,10
0xFe9c534BB62FB9b5,ppeibastuc.ens,2.46,194,52,ASK1SW,45
0x4BFA23cD6E8BBB31,vexozhftvc.ens,4.03,138,91,MZ301Q,34
0xb72D60dF287a0BAD,sdwaciibrr.ens,1.04,75,97,D3B9H0,21
0xc59f5C3dBEb5987B,ruwvkzglxo.ens,2.81,54,37,OGDTZS,6
0x4EbBEF6EA8b1Db47,xpkyaiujjw.ens,1.53,155,62,H70BYS,35
0x1bc0d1DCEDBFDBDF,nmeomzhwwv.ens,2.0,179,35,JERS26,31
0x2aFB1beb1B32e94a,zsxxlzdfgr.ens,0.84,155,39,7SO7X6,47
0xcba8Ed8365Edd2e9,sslaepkkln.ens,4.78,169,57,V3TA9T,38
0x68AC637473DA16E3,uiotcwbkpi.ens,1.52,82,97,MT7P8Q,50
0x0Cd35DeA8CcD0Bd0,mlseyyriws.ens,1.45,56,81,4CVA40,42
0xAe6d0CaE0C933CC0,empotuopcy.ens,3.55,100,52,2076YT,7
0xDCb2e4B8Be7d62Be,ewkseloubi.ens,2.27,120,39,X0IIYV,35
0xC1d2abD20e3cD2Fc,oniedsnyzn.ens,3.62,101,35,9TS2AZ,45
0x0859A64af5a8232D,rlfytcgmjo.ens,2.61,185,30,KIEMX1,27
0x66AB0BC13D83E7ed,lpzotyxhvu.ens,3.18,74,98,GUICG7,32
0xcfF5C441751E98Eb,pycctrhqtm.ens,3.75,145,35,6IAG87,21
0x82BeA598bf1B5F5b,xiqshnmiil.ens,1.23,98,41,RKSEV0,38
0xDbb5aCA1b3Ca176E,syvcnycwvh.ens,0.69,73,55,KL4YVM,38
0x8C3Bf63C8929ACfF,uogreaojsd.ens,3.71,54,85,0ANXED,25
0xdEe1a9b9eFA3e08e,sdvirvkjbx.ens,1.85,160,82,0HNHVO,50
0xa8bF98C6eE248A0a,uicjkcumgo.ens,0.97,153,74,0DO4LO,15
0xcDfc3cfABf3f8BA2,ndqrxzotfm.ens,3.94,85,67,KUAL53,27
0x1B7AaeEA7c021E3a,llndrhpoae.ens,1.57,158,31,QQ82LU,18
0xB928feF1381cedA0,iwvrtexwwl.ens,0.21,170,22,AXF1EY,41
0x355EdebbCb0DbeA9,xmndsdysob.ens,1.34,86,45,R71YVH,30
0xBfcFBF0b7Ce0CB78,ldtkhbkdde.ens,1.73,182,56,7AAK2H,40
0xe8b01243d5ac0B4A,sczlcqcxvr.ens,2.01,54,34,7INNT5,22
0x92076fAe6cEB6cCb,sxbsregpnd.ens,2.11,124,64,18R6JD,8
0x6cE862809D5f35fd,tqgnorjrzz.ens,4.83,105,75,D5IO9O,30
0xafbaEF95FF51AcB7,fapiloybhg.ens,1.15,59,25,VH9Q6A,19
0x2ffCE364cA09a017,dawqmnioac.ens,1.46,115,71,Y4DNA4,10
0x7dcdEcB0b55Cdc1d,lddkfwbmdl.ens,2.82,64,60,LZN270,46
0x3EE808615AAdc0ca,nnepywppov.ens,0.2,158,67,2DA9TY,26
0xAcAd50a41Ea3efC5,cfdsfxaaju.ens,1.72,180,69,H5RJLD,19
0x758ED1E6195ceeDf,wlwtmdnlxq.ens,3.3,104,99,1NFYAA,20
0xCA654c98bf5EAC9a,mvbsdozhqm.ens,3.87,197,99,5UWLSK,10
0xcc5002720Df2cFA1,btkmbvdfym.ens,2.7,184,80,RVDXYT,50
0xBc1CbBA6d431593A,xcraimvpig.ens,0.94,155,56,ME7GOV,47
0xBa9ddE6BCbd9Bebb,toscbdmkcd.ens,2.23,101,63,X3WNUQ,17
0x1dEFa388BFDA37dd,htsghecvnf.ens,4.81,74,50,WHXZ2Q,47
0x2db92Afc1a29DFAe,cddazaiyvy.ens,2.76,124,83,P034IC,19
0xDc0fF97d4fF864A3,oyfpwwigzz.ens,2.44,185,97,FKA0I4,18
0x4D78C5157728A733,yicdmuochg.ens,4.13,57,76,TXVANK,46
